aogcm,sector,pr_clim,evspsbl_clim,smb_clim,ts_clim,mrro_clim
hadgem2-es_rcp85,6,2.3955440155987162e-06,8.442140710940294e-07,1.1175510508110165e-06,233.00538635253906,4.337788084285421e-07
hadgem2-es_rcp85,7,2.5953026124625467e-05,6.963057330722222e-06,1.884433913801331e-05,261.23944091796875,1.4562965588993393e-07
hadgem2-es_rcp85,8,2.2462758352048695e-05,7.078470844135154e-06,1.5128034647204913e-05,257.9993896484375,2.5625465127632197e-07
hadgem2-es_rcp85,9,8.718540811969433e-06,3.983952410635538e-06,4.579748292599106e-06,243.3535919189453,1.5483949766803562e-07
hadgem2-es_rcp85,10,1.74492561200168e-05,7.729796379862819e-06,9.18843852559803e-06,259.2319641113281,5.310219535203942e-07
hadgem2-es_rcp85,11,4.197593625576701e-06,1.477217210776871e-06,2.477284169799532e-06,239.26126098632812,2.4309215973516984e-07
hadgem2-es_rcp85,12,2.2846172214485705e-05,6.818677775299875e-06,1.597770824446343e-05,261.7578430175781,4.97868448690042e-08
hadgem2-es_rcp85,13,2.8140748327132314e-05,1.3291137292981148e-05,1.4686967915622517e-05,268.33074951171875,1.6264287694411905e-07
hadgem2-es_rcp85,14,1.6466980014229193e-05,4.426700797921512e-06,1.1582626939343754e-05,254.82411193847656,4.576518790599948e-07
hadgem2-es_rcp85,15,1.760204577294644e-05,7.714641469647177e-06,9.820552804740146e-06,264.95611572265625,6.685231568326344e-08
hadgem2-es_rcp85,16,1.4046679098100867e-05,2.4852527076291153e-06,1.1237076250836253e-05,256.5199279785156,3.243499406835326e-07
hadgem2-es_rcp85,17,2.6769956093630753e-05,8.953039468906354e-06,1.687287112872582e-05,271.96453857421875,9.44045098094648e-07
hadgem2-es_rcp85,18,2.8716831366182305e-05,5.72434919376974e-06,2.0157545804977417e-05,265.5245056152344,2.834936822182499e-06
csiro-mk3.6_rcp85,1,2.0783065338036977e-05,1.080010406440124e-05,9.982960364141036e-06,268.4223937988281,
csiro-mk3.6_rcp85,2,9.14531665330287e-06,1.9418084775679745e-06,7.203508630482247e-06,249.02789306640625,
csiro-mk3.6_rcp85,3,2.3656861230847426e-05,1.3163355106371455e-05,1.0493506124475971e-05,270.5194396972656,
csiro-mk3.6_rcp85,4,1.0564802323642652e-05,1.0434156365590752e-06,9.521387255517766e-06,245.92881774902344,
csiro-mk3.6_rcp85,5,5.6967542150232475e-06,8.449516144537483e-07,4.851802714256337e-06,242.497314453125,
csiro-mk3.6_rcp85,6,2.4708915589144453e-06,4.874993351222656e-07,1.9833923943224363e-06,226.75027465820312,
csiro-mk3.6_rcp85,7,2.172984204662498e-05,6.132191174401669e-06,1.5597652236465365e-05,259.00640869140625,
csiro-mk3.6_rcp85,8,1.8436381651554257e-05,8.323450856551062e-06,1.0112932613992598e-05,254.94522094726562,
csiro-mk3.6_rcp85,9,6.348785973386839e-06,1.5840487321838737e-06,4.764737241202965e-06,234.79652404785156,
csiro-mk3.6_rcp85,10,1.0020207810157444e-05,2.4777291400823742e-06,7.542479124822421e-06,249.32049560546875,
csiro-mk3.6_rcp85,11,3.2897337405302096e-06,6.499225264633424e-07,2.639811327753705e-06,230.22930908203125,
csiro-mk3.6_rcp85,12,2.0002529709017836e-05,5.3610247050528415e-06,1.4641505913459696e-05,259.1081237792969,
csiro-mk3.6_rcp85,13,2.1670834030373953e-05,7.882540558057372e-06,1.3788293472316582e-05,262.7229309082031,
csiro-mk3.6_rcp85,14,1.1995256500085816e-05,3.316977199574467e-06,8.678279300511349e-06,249.3365478515625,
csiro-mk3.6_rcp85,15,1.2619810149772093e-05,2.9160664780647494e-06,9.703743671707343e-06,257.28472900390625,
