sectors,year,temperature,regions,aogcm
4.0,2045,0.06951176,1.0,miroc-esm-chem_rcp8.5
4.0,2046,0.10218709,1.0,miroc-esm-chem_rcp8.5
4.0,2047,0.15242793,1.0,miroc-esm-chem_rcp8.5
4.0,2048,0.18153314,1.0,miroc-esm-chem_rcp8.5
4.0,2049,0.18753685,1.0,miroc-esm-chem_rcp8.5
4.0,2050,0.17942269,1.0,miroc-esm-chem_rcp8.5
4.0,2051,0.18551716,1.0,miroc-esm-chem_rcp8.5
4.0,2052,0.21597175,1.0,miroc-esm-chem_rcp8.5
4.0,2053,0.21050468,1.0,miroc-esm-chem_rcp8.5
4.0,2054,0.23121892,1.0,miroc-esm-chem_rcp8.5
4.0,2055,0.26511803,1.0,miroc-esm-chem_rcp8.5
4.0,2056,0.26548532,1.0,miroc-esm-chem_rcp8.5
4.0,2057,0.28397003,1.0,miroc-esm-chem_rcp8.5
4.0,2058,0.27996904,1.0,miroc-esm-chem_rcp8.5
4.0,2059,0.2963711,1.0,miroc-esm-chem_rcp8.5
4.0,2060,0.30901486,1.0,miroc-esm-chem_rcp8.5
4.0,2061,0.31161103,1.0,miroc-esm-chem_rcp8.5
4.0,2062,0.26592457,1.0,miroc-esm-chem_rcp8.5
4.0,2063,0.26434928,1.0,miroc-esm-chem_rcp8.5
4.0,2064,0.2721161,1.0,miroc-esm-chem_rcp8.5
4.0,2065,0.2882511,1.0,miroc-esm-chem_rcp8.5
4.0,2066,0.2826831,1.0,miroc-esm-chem_rcp8.5
4.0,2067,0.2855789,1.0,miroc-esm-chem_rcp8.5
4.0,2068,0.33719552,1.0,miroc-esm-chem_rcp8.5
4.0,2069,0.3429334,1.0,miroc-esm-chem_rcp8.5
4.0,2070,0.3290056,1.0,miroc-esm-chem_rcp8.5
4.0,2071,0.36911356,1.0,miroc-esm-chem_rcp8.5
4.0,2072,0.3716527,1.0,miroc-esm-chem_rcp8.5
4.0,2073,0.36269438,1.0,miroc-esm-chem_rcp8.5
4.0,2074,0.34852397,1.0,miroc-esm-chem_rcp8.5
4.0,2075,0.35421577,1.0,miroc-esm-chem_rcp8.5
