sectors,year,pr_anomaly,evspsbl_anomaly,mrro_anomaly,smb_anomaly,ts_anomaly,regions,aogcm
2.0,2074.0,1.5542846e-06,2.2888544e-08,7.978433e-08,1.4516118e-06,1.5964682,1.0,noresm1-m_rcp8.5
2.0,2075.0,8.00422e-07,-4.1431276e-09,-8.384949e-09,8.129501e-07,1.8640783,1.0,noresm1-m_rcp8.5
2.0,2076.0,-1.5948672e-07,4.258044e-08,4.319893e-08,-2.4526608e-07,1.493068,1.0,noresm1-m_rcp8.5
2.0,2077.0,1.997754e-06,1.7165164e-07,9.851912e-08,1.7275833e-06,2.6526995,1.0,noresm1-m_rcp8.5
2.0,2078.0,1.450662e-06,1.8417539e-07,8.529689e-08,1.1811896e-06,1.732244,1.0,noresm1-m_rcp8.5
2.0,2079.0,8.821689e-07,7.213654e-09,5.5625947e-08,8.193293e-07,1.6645299,1.0,noresm1-m_rcp8.5
2.0,2080.0,-1.3530214e-06,4.8949804e-08,1.9553092e-08,-1.4215243e-06,1.2514191,1.0,noresm1-m_rcp8.5
2.0,2081.0,2.147363e-06,4.527099e-08,1.1727587e-07,1.984816e-06,2.10857,1.0,noresm1-m_rcp8.5
2.0,2082.0,-8.71633e-07,1.8818618e-07,-5.419371e-08,-1.0056254e-06,-0.104884714,1.0,noresm1-m_rcp8.5
2.0,2083.0,1.2983882e-06,-8.941098e-08,1.6098146e-07,1.2268176e-06,2.1431782,1.0,noresm1-m_rcp8.5
